authorName,createTime,introduce,playTimes,songSheet,tags
Emotional,2018-06-08,<br><br>另类电子，个人理解为“带电”的另类音乐，换句,474237,孤独患者专属的30首另类电子,"英语,电子"
2018征战俄罗斯,2018-06-08,2017年10月10日，葡萄牙国家男子足球队以欧洲区B组第一,98802,热门球队 • 葡萄牙法朵,电子
Emotional,2018-06-07,Moombahton（雷鬼电子）是一种浩室&#160;（Ho,544438,雷鬼电子：星空渲染的迷幻人声,"英语,电子"
被嫌弃的唐唐的一生,2018-05-22,"亲爱的听众朋友,刚才那些好听的歌曲，是否为你带来几分轻松与惬",2912276,毕业那年，校园广播放着的民谣,"国语,民谣,伤感"
y◟̽◞̽,2018-05-26,唱功好到极致是种怎样的体验？     精选假音歌曲直击灵魂深,290191,与灵魂共振的欧美男声假音,"英语,流行"
生如夏花,2018-06-13,"今吾欲踏江游河,观天地之秀丽,览山川之壮阔,可愿随之…本单精",382097,高考党暑假旅游名胜古迹,"国语,古风"
2018征战俄罗斯,2018-06-11,阿根廷是全世界最成功的国家足球队之一，曾夺得2届世界杯冠军，,132196,热门球队 • 阿根廷探戈,世界音乐
L岺,2018-05-21,日本盐系少年的嗓音是低浓度水果味，如果非要用一段恰当的话来形,1638856,低浓度气泡嗓：日本盐系少年,"日语,流行"
谜一般的年轻人,2018-05-24,美国《滚石》（Rolling&#160;Stone）是一本致,164312,滚石杂志评选 Hip-Hop Top 30,"嘻哈,英语"
eric,2018-06-13,今晚世界杯开幕，家里已经囤好零食泡面啤酒了，和兄弟们一起熬夜,720836,熬夜看世界杯的热血BGM,"流行,宣泄"
爱唱歌的小小风,2018-06-08,民乐新世纪也被称为新民乐，它们的节奏舒缓、旋律优雅、制作精细,925384,中国民乐新世纪的清音漪韵,新世纪
Awakening,2018-06-12,"炎炎夏日,如何度过悠长暑假，精选B站9.5以上评分的2018",350888,高考党暑假必追番剧,"日语,ACG"
Lee BG嗷柏,2018-06-12,这歌单介绍是地下音乐的澳洲嘻哈（australian hip,131329,30位澳洲嘻哈歌手代表作,"嘻哈,城市,电子"
LAN费曼,2018-05-18,或许北欧的清新纯音你已经听过很多，那北欧人玩摇滚起来是怎么样,212431,黑暗系童话 | 北欧摇滚,摇滚
念安娜,2018-06-14,你以为高考结束后，压力就没了，其实你错了，到了大学，依然有学,595236,缓解压力 • 30首轻快华语,"国语,工作,励志"
Ava.H,2018-06-13,▼<br><br>psychedelic、acid、folk,227705,迷幻民谣：耳边的柔声呓语,民谣
默笙,2018-06-12,歌单主题：清新电子女声<br><br>高考结束的时间虽然已经,705930,车载特供｜自驾游必备清爽女声,"英语,电子,开车"
冬天吃了秋天,2018-06-03,Alternative:另类流行。此歌单所选的另类流行不同于,445202,Alternative: 映衬出内心的惆怅,"英语,伤感"
Pure_Lavender,2018-06-13,T10MO超强炮制2018年百首欧美流行热单夏日混音mv大首,710728,T10MO2018百首欧美流行热单,"流行,英语"
MouYong LynLyn,2018-05-30,随着随着时代的步伐，现在香港乐坛上已经涌现出很多优秀的摇滚乐,168867,30支香港新生代摇滚乐队,"粤语,摇滚"
谜一般的年轻人,2018-06-05,藏族音乐大多音域宽广，节奏自由，旋律起伏较大，悠长高亢，极富,231585,谛听藏风，疗愈新世纪,新世纪
L岺,2017-10-08,夜幕下燈光璀璨的城，如果一個人看，只是徒增傷感；若是有她的陪,1100755,颅内催眠：烟花璀璨下的耳语,"安静,睡前,流行"
